KNOT	A	B1	B2	B3	SEX	AGE	PERCENTILE	CHART
0.192000e 03	0.716784e 02	0.114941e 00	-0.557133e-02	0.741157e-04				
0.255000e 02	0.944010e 02	0.765267e 00	-0.387713e-02	0.190223e-04	M	2	95	5
0.138000e 03	0.158508e 03	0.615166e 00	0.254290e-02	-0.957892e-04				
0.168000e 03	0.176665e 03	0.509109e 00	-0.607813e-02	0.332056e-05				
0.204000e 03	0.187271e 03	0.843938e-01	-0.571951e-02	0.748032e-04				
0.255000e 02	0.935798e 02	0.687539e 00	-0.162012e-02	0.640311e-05	F	2	95	5
0.132000e 03	0.156162e 03	0.560332e 00	0.425679e-03	-0.126783e-03				
0.156000e 03	0.168102e 03	0.361683e 00	-0.870271e-02	0.739251e-04				
0.192000e 03	0.173293e 03	0.225094e-01	-0.718790e-03	0.143754e-04				
0.180000e 02	0.144190e 02	0.177692e 00	0.293534e-03	0.935807e-05	M	2	95	2
0.960000e 02	0.345057e 02	0.394287e 00	0.248332e-02	-0.962650e-05				
0.156000e 03	0.650235e 02	0.588319e 00	0.750551e-03	-0.332765e-04				
0.204000e 03	0.913120e 02	0.430365e 00	-0.404126e-02	-0.785597e-04				
0.180000e 02	0.123579e 02	0.318110e 00	-0.335819e-02	0.381172e-04	F	2	95	2
0.840000e 02	0.296834e 02	0.372945e 00	0.418902e-02	-0.293068e-04				
0.144000e 03	0.608103e 02	0.559114e 00	-0.108619e-02	-0.376049e-04				
0.192000e 03	0.809864e 02	0.194915e 00	-0.650130e-02	0.398998e-04				
0.830000e 02	0.968538e 01	0.244634e 00	-0.381018e-02	0.106918e-03	F	3	5	6
0.111000e 03	0.158950e 02	0.282736e 00	0.517097e-02	-0.226954e-04				
0.830000e 02	0.990784e 01	0.229747e 00	-0.173640e-02	0.684916e-04	F	3	10	6
0.111000e 03	0.164829e 02	0.293601e 00	0.401690e-02	0.317001e-04				
0.830000e 02	0.104637e 02	0.224737e 00	-0.337445e-04	0.334945e-04	F	3	25	6
0.111000e 03	0.174651e 02	0.301627e 00	0.277980e-02	0.113704e-03				
0.830000e 02	0.112292e 02	0.241124e 00	-0.602803e-03	0.481200e-04	F	3	50	6
0.111000e 03	0.185644e 02	0.320545e 00	0.343927e-02	0.131686e-03				
0.830000e 02	0.119385e 02	0.288987e 00	-0.297108e-02	0.939217e-04	F	3	75	6
0.111000e 03	0.197626e 02	0.343510e 00	0.491834e-02	0.186259e-03				
0.830000e 02	0.122951e 02	0.386243e 00	-0.770235e-02	0.180151e-03	F	3	90	6
0.111000e 03	0.210259e 02	0.378627e 00	0.743035e-02	0.177340e-03				
0.830000e 02	0.123431e 02	0.517028e 00	-0.136257e-01	0.268333e-03	F	3	95	6
0.111000e 03	0.220278e 02	0.385111e 00	0.891432e-02	0.254705e-03				
0.850000e 02	0.107507e 02	0.140854e 00	0.298996e-02	-0.919949e-07	M	4	5	6
0.115000e 03	0.176648e 02	0.320003e 00	0.298168e-02	0.335891e-04				
0.850000e 02	0.109265e 02	0.156693e 00	0.274282e-02	0.315789e-05	M	4	10	6
0.115000e 03	0.181811e 02	0.329789e 00	0.302703e-02	0.388341e-04				
0.850000e 02	0.113563e 02	0.191648e 00	0.216488e-02	0.552425e-05	M	4	25	6
0.115000e 03	0.192033e 02	0.336456e 00	0.266206e-02	0.853233e-04				
0.850000e 02	0.120764e 02	0.209637e 00	0.199186e-02	0.855476e-05	M	4	50	6
0.115000e 03	0.203891e 02	0.352246e 00	0.276179e-02	0.130094e-03				
0.850000e 02	0.129855e 02	0.216985e 00	0.160842e-02	0.267026e-04	M	4	75	6
0.115000e 03	0.216636e 02	0.385588e 00	0.401166e-02	0.133649e-03				
0.850000e 02	0.131225e 02	0.401332e 00	-0.902093e-02	0.213851e-03	M	4	90	6
0.115000e 03	0.228176e 02	0.437473e 00	0.102256e-01	-0.316979e-04				
0.850000e 02	0.132870e 02	0.460717e 00	-0.106413e-01	0.233872e-03	M	4	95	6
0.115000e 03	0.238459e 02	0.453695e 00	0.104072e-01	0.733442e-04				
