Date,bottles,feedings,longestBF,solids,newSolid,P,nightSleep,daySleep,nightWakings,LSP,naps,longestNap,painkiller
5-Sep,0,6,NA,3,T,2,10.75,3.5,4,5.75,4,1.25,0
6-Sep,1,6,NA,2,F,2,10.5,2.75,NA,NA,3,1.5,1
7-Sep,0,7,NA,2,F,NA,11,NA,3,3.75,NA,NA,2
8-Sep,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
9-Sep,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,0
10-Sep,0,6,NA,4,F,2,10.75,2.5,0,10.75,2,1.5,0
11-Sep,0,6,NA,4,T,2,11,2,2,4.5,3,1,0
12-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-Sep,0,9,NA,3,T,1,10.5,2.5,6,2.5,3,1,0
24-Sep,1,7,NA,3,T,1,10.5,4.5,8,2.25,2,2,0
25-Sep,1,6,NA,3,F,2,11,2.25,5,5.5,3,0.75,0
26-Sep,0,5,NA,3,F,0,10.5,1.75,3,4.5,2,1,1
27-Sep,1,7,NA,3,F,1,10,1.5,4,4.5,2,0.5,3
28-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29-Sep,NA,NA,NA,NA,NA,NA,10.5,2.25,5,6,3,0.75,2
30-Sep,NA,NA,NA,NA,NA,2,NA,1.25,NA,NA,2,1,NA
1-Oct,0,8,NA,4,F,1,10.25,1.5,4,4.75,3,0.5,3
2-Oct,0,6,NA,3,F,2,10.5,1.75,3,6,3,0.75,1
3-Oct,0,6,NA,3,F,1,11.5,2,3,5.25,3,1,1
4-Oct,0,7,NA,3,F,1,11.5,1.5,6,5.25,2,1,1
5-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6-Oct,0,7,NA,2,F,1,11.25,2.25,3,4.75,2,1.25,0
7-Oct,0,7,NA,2,F,1,11,1.25,2,6,3,0.5,2
8-Oct,0,8,NA,3,T,1,11.25,2,4,4.5,3,1,0
9-Oct,0,6,NA,3,F,1,11.25,1.25,6,NA,2,0.575,1
10-Oct,0,8,NA,3,F,4,10.5,1.5,8,2.5,3,0.5,2
11-Oct,0,10,NA,3,F,1,9.75,3,5,4.25,2,1.5,3
12-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-Oct,0,8,NA,3,F,NA,NA,1.5,NA,NA,3,0.5,0
15-Oct,2,8,NA,4,F,2,11,2,4,5,3,1,1
16-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
17-Oct,0,7,NA,3,F,2,11,1.5,2,8,3,0.75,0
18-Oct,0,8,NA,3,F,1,11.25,1.25,6,3.25,2,1,1
